"@timestamp","_source"
"21:24:07.735 2025-10-05","{""@timestamp"":""21:24:07.735 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""audit_type"":""1300"",""audit_type_name"":""SYSCALL"",""audit_field_arch"":""c000003e"",""audit_field_success"":""yes"",""selinux_context"":""unconfined"",""audit_field_exit"":""5"",""audit_field_syscall"":""41"",""audit_field_a0"":""2"",""audit_field_a1"":""1"",""audit_field_items"":""0"",""audit_loginuid"":""4294967295"",""tty"":""(none)"",""audit_session"":""4294967295"",""audit_field_key"":""\""network_socket_created\"""",""audit_field_a2"":""6"",""comm"":""vsftpd"",""exe"":""/usr/sbin/vsftpd"",""hostname"":""srvbastion"",""uid"":""65534"",""gid"":""65534"",""euid"":""65534"",""audit_field_suid"":""65534"",""fsuid"":""65534"",""egid"":""65534"",""audit_field_sgid"":""65534"",""fsgid"":""65534"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""audit_field_a3"":""8c275999455f552c"",""ppid"":""580"",""pid"":""26010"",""message"":""SYSCALL arch=c000003e syscall=41 success=yes exit=5 a0=2 a1=1 a2=6 a3=8c275999455f552c items=0 ppid=580 pid=26010 auid=4294967295 uid=65534 gid=65534 euid=65534 suid=65534 fsuid=65534 egid=65534 sgid=65534 fsgid=65534 tty=(none) ses=4294967295 comm=\""vsftpd\"" exe=\""/usr/sbin/vsftpd\"" subj=unconfined key=\""network_socket_created\"""",""source_realtime_timestamp"":""1759699447734000"",""audit_id"":""30194"",""tag"":""auditd"",""_id"":""XnRCtpkBStl87ql0093E"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:05.544 2025-10-05","{""@timestamp"":""21:24:05.544 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""audit_type"":""1300"",""audit_type_name"":""SYSCALL"",""audit_field_arch"":""c000003e"",""audit_field_success"":""yes"",""selinux_context"":""unconfined"",""audit_field_exit"":""5"",""audit_field_syscall"":""41"",""audit_field_a0"":""2"",""audit_field_a1"":""1"",""audit_field_items"":""0"",""audit_loginuid"":""4294967295"",""tty"":""(none)"",""audit_session"":""4294967295"",""audit_field_key"":""\""network_socket_created\"""",""audit_field_a2"":""6"",""comm"":""vsftpd"",""exe"":""/usr/sbin/vsftpd"",""hostname"":""srvbastion"",""uid"":""65534"",""gid"":""65534"",""euid"":""65534"",""audit_field_suid"":""65534"",""fsuid"":""65534"",""egid"":""65534"",""audit_field_sgid"":""65534"",""fsgid"":""65534"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""audit_field_a3"":""8c275999455f552c"",""ppid"":""580"",""pid"":""26010"",""message"":""SYSCALL arch=c000003e syscall=41 success=yes exit=5 a0=2 a1=1 a2=6 a3=8c275999455f552c items=0 ppid=580 pid=26010 auid=4294967295 uid=65534 gid=65534 euid=65534 suid=65534 fsuid=65534 egid=65534 sgid=65534 fsgid=65534 tty=(none) ses=4294967295 comm=\""vsftpd\"" exe=\""/usr/sbin/vsftpd\"" subj=unconfined key=\""network_socket_created\"""",""source_realtime_timestamp"":""1759699445538000"",""audit_id"":""30193"",""tag"":""auditd"",""_id"":""XHRCtpkBStl87ql0093E"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:05.544 2025-10-05","{""@timestamp"":""21:24:05.544 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""audit_type"":""1327"",""audit_type_name"":""PROCTITLE"",""message"":""PROCTITLE proctitle=2F7573722F7362696E2F767366747064002F6574632F7673667470642E636F6E66"",""cmdline"":""/usr/sbin/vsftpd /etc/vsftpd.conf"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""source_realtime_timestamp"":""1759699445538000"",""audit_id"":""30193"",""tag"":""auditd"",""_id"":""XXRCtpkBStl87ql0093E"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:04.483 2025-10-05","{""@timestamp"":""21:24:04.483 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""audit_type"":""1300"",""audit_type_name"":""SYSCALL"",""audit_field_arch"":""c000003e"",""audit_field_success"":""yes"",""selinux_context"":""unconfined"",""audit_field_exit"":""5"",""audit_field_syscall"":""41"",""audit_field_a0"":""2"",""audit_field_a1"":""1"",""audit_field_items"":""0"",""audit_loginuid"":""4294967295"",""tty"":""(none)"",""audit_session"":""4294967295"",""audit_field_key"":""\""network_socket_created\"""",""audit_field_a2"":""6"",""comm"":""vsftpd"",""exe"":""/usr/sbin/vsftpd"",""hostname"":""srvbastion"",""uid"":""65534"",""gid"":""65534"",""euid"":""65534"",""audit_field_suid"":""65534"",""fsuid"":""65534"",""egid"":""65534"",""audit_field_sgid"":""65534"",""fsgid"":""65534"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""audit_field_a3"":""8c275999455f552c"",""ppid"":""580"",""pid"":""26010"",""source_realtime_timestamp"":""1759699444482000"",""audit_id"":""30192"",""message"":""SYSCALL arch=c000003e syscall=41 success=yes exit=5 a0=2 a1=1 a2=6 a3=8c275999455f552c items=0 ppid=580 pid=26010 auid=4294967295 uid=65534 gid=65534 euid=65534 suid=65534 fsuid=65534 egid=65534 sgid=65534 fsgid=65534 tty=(none) ses=4294967295 comm=\""vsftpd\"" exe=\""/usr/sbin/vsftpd\"" subj=unconfined key=\""network_socket_created\"""",""tag"":""auditd"",""_id"":""WnRCtpkBStl87ql0093E"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:04.483 2025-10-05","{""@timestamp"":""21:24:04.483 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""audit_type"":""1327"",""audit_type_name"":""PROCTITLE"",""message"":""PROCTITLE proctitle=2F7573722F7362696E2F767366747064002F6574632F7673667470642E636F6E66"",""cmdline"":""/usr/sbin/vsftpd /etc/vsftpd.conf"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""source_realtime_timestamp"":""1759699444482000"",""audit_id"":""30192"",""tag"":""auditd"",""_id"":""W3RCtpkBStl87ql0093E"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:04.278 2025-10-05","{""@timestamp"":""21:24:04.278 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""uid"":""0"",""selinux_context"":""unconfined"",""audit_field_addr"":""?"",""audit_field_res"":""success"",""audit_field_hostname"":""?"",""audit_type"":""1106"",""audit_type_name"":""USER_END"",""audit_field_op"":""PAM:session_close"",""audit_field_acct"":""root"",""audit_field_exe"":""/usr/sbin/cron"",""audit_field_terminal"":""cron"",""audit_loginuid"":""0"",""audit_field_grantors"":""pam_loginuid,pam_env,pam_env,pam_permit,pam_unix,pam_limits"",""audit_session"":""68"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""pid"":""26013"",""source_realtime_timestamp"":""1759699444274000"",""audit_id"":""30191"",""message"":""USER_END pid=26013 uid=0 auid=0 ses=68 subj=unconfined msg='op=PAM:session_close grantors=pam_loginuid,pam_env,pam_env,pam_permit,pam_unix,pam_limits acct=\""root\"" exe=\""/usr/sbin/cron\"" hostname=? addr=? terminal=cron res=success'"",""tag"":""auditd"",""_id"":""WXRCtpkBStl87ql0093E"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:04.277 2025-10-05","{""@timestamp"":""21:24:04.277 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""uid"":""0"",""selinux_context"":""unconfined"",""audit_field_addr"":""?"",""audit_field_res"":""success"",""audit_field_hostname"":""?"",""audit_field_acct"":""root"",""audit_type"":""1104"",""audit_type_name"":""CRED_DISP"",""audit_field_op"":""PAM:setcred"",""audit_field_grantors"":""pam_permit"",""audit_field_exe"":""/usr/sbin/cron"",""audit_field_terminal"":""cron"",""audit_loginuid"":""0"",""audit_session"":""68"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""pid"":""26013"",""source_realtime_timestamp"":""1759699444270000"",""audit_id"":""30190"",""message"":""CRED_DISP pid=26013 uid=0 auid=0 ses=68 subj=unconfined msg='op=PAM:setcred grantors=pam_permit acct=\""root\"" exe=\""/usr/sbin/cron\"" hostname=? addr=? terminal=cron res=success'"",""tag"":""auditd"",""_id"":""WHRCtpkBStl87ql0093E"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:04.276 2025-10-05","{""@timestamp"":""21:24:04.276 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""uid"":""0"",""selinux_context"":""unconfined"",""audit_field_addr"":""?"",""audit_field_res"":""success"",""audit_field_hostname"":""?"",""audit_field_acct"":""root"",""audit_type"":""1104"",""audit_type_name"":""CRED_DISP"",""audit_field_op"":""PAM:setcred"",""audit_field_grantors"":""pam_permit"",""audit_field_exe"":""/usr/sbin/cron"",""audit_field_terminal"":""cron"",""audit_loginuid"":""0"",""audit_session"":""69"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""pid"":""26014"",""source_realtime_timestamp"":""1759699444270000"",""audit_id"":""30188"",""message"":""CRED_DISP pid=26014 uid=0 auid=0 ses=69 subj=unconfined msg='op=PAM:setcred grantors=pam_permit acct=\""root\"" exe=\""/usr/sbin/cron\"" hostname=? addr=? terminal=cron res=success'"",""tag"":""auditd"",""_id"":""VnRCtpkBStl87ql0093E"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:04.276 2025-10-05","{""@timestamp"":""21:24:04.276 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""uid"":""0"",""selinux_context"":""unconfined"",""audit_field_addr"":""?"",""audit_field_res"":""success"",""audit_field_hostname"":""?"",""audit_type"":""1106"",""audit_type_name"":""USER_END"",""audit_field_op"":""PAM:session_close"",""audit_field_acct"":""root"",""audit_field_exe"":""/usr/sbin/cron"",""audit_field_terminal"":""cron"",""audit_loginuid"":""0"",""audit_field_grantors"":""pam_loginuid,pam_env,pam_env,pam_permit,pam_unix,pam_limits"",""audit_session"":""69"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""pid"":""26014"",""source_realtime_timestamp"":""1759699444270000"",""audit_id"":""30189"",""message"":""USER_END pid=26014 uid=0 auid=0 ses=69 subj=unconfined msg='op=PAM:session_close grantors=pam_loginuid,pam_env,pam_env,pam_permit,pam_unix,pam_limits acct=\""root\"" exe=\""/usr/sbin/cron\"" hostname=? addr=? terminal=cron res=success'"",""tag"":""auditd"",""_id"":""V3RCtpkBStl87ql0093E"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:01.202 2025-10-05","{""@timestamp"":""21:24:01.202 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""audit_type"":""1327"",""audit_type_name"":""PROCTITLE"",""message"":""PROCTITLE proctitle=2F7573722F62696E2F6375726C002D73002D6D0035006674703A2F2F3139322E3136382E39392E323A313233342F002D76"",""cmdline"":""/usr/bin/curl -s -m 5 ftp://192.168.99.2:1234/ -v"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""source_realtime_timestamp"":""1759699441198000"",""audit_id"":""30186"",""tag"":""auditd"",""_id"":""VXRCtpkBStl87ql0093E"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
